"時間","場所名","住所","該当ページURL","充電場所HP","充電器タイプ","利用可能時間","充電器タイプ","充電器出力","ビジター料金","その他","充電器総数","利用可能","利用中","故障中","休止中","未使用"
02/10/25 11:16,日産青森　十和田店,青森県十和田市大字三本木字千歳森３５７－２,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,十和田市
02/10/25 11:16,日産青森　むつ店,青森県むつ市大字田名部字赤川の内並木１１０－４,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,むつ市
02/10/25 11:16,日産青森　下北店,青森県むつ市仲町１－１０,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,むつ市
02/10/25 11:16,東北自動車道　津軽ＳＡ（上り）,青森県平川市沖舘字比山館３２－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,平川市
02/10/25 11:17,取得ミス,,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,大鰐町
02/10/25 11:17,ローソン野辺地高校前店,青森県上北郡野辺地町字観音林後１−１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大25kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,野辺地町
02/10/25 11:17,八戸自動車道　折爪ＳＡ（上り）,岩手県九戸郡軽米町大字山内第四地割字駒板１１１－６２－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,南部町
02/10/25 11:18,八戸自動車道　折爪ＳＡ（上り）,岩手県九戸郡軽米町大字山内第四地割字駒板１１１－６２－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,南部町
02/10/25 11:21,東北自動車道　津軽ＳＡ（上り）,青森県平川市沖舘字比山館３２－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,弘前市
02/10/25 11:23,東北自動車道　津軽ＳＡ（上り）,青森県平川市沖舘字比山館３２－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,平川市
02/10/25 11:23,取得ミス,,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,大鰐町
02/10/25 11:24,八戸自動車道　折爪ＳＡ（上り）,岩手県九戸郡軽米町大字山内第四地割字駒板１１１－６２－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,南部町
